Camera,Month,Bobcat_RAI,Sheep_RAI,Sheep,Dog_RAI,Dog,Individual_Dog,Fire,Season
D16,february.2017,0,0,N,,,,N,Winter
E05,february.2017,0.03571429,0,N,,,,N,Winter
E07,february.2017,0,0,N,,,,N,Winter
E09,february.2017,0,0,N,,,,N,Winter
E11,february.2017,0,0,N,,,,N,Winter
E13,february.2017,0,0.5,Y,,,,N,Winter
E15,february.2017,0,0,N,,,,N,Winter
E17,february.2017,0,3.5,Y,,,,N,Winter
F04,february.2017,0,0,N,,,,N,Winter
F06,february.2017,0,0,N,,,,N,Winter
F08,february.2017,0,0,N,,,,N,Winter
F10,february.2017,0,0,N,,,,N,Winter
G09,february.2017,0,0,N,,,,N,Winter
G11,february.2017,0,0,N,,,,N,Winter
A03,march.2017,0.03225806,0,N,,,,N,Spring
A13,march.2017,0,0,N,,,,N,Spring
B02,march.2017,0.03225806,0,N,,,,N,Spring
B04,march.2017,0,0,N,,,,N,Spring
B06,march.2017,0,0,N,,,,N,Spring
B08,march.2017,0,0,N,,,,N,Spring
B10,march.2017,0,0,N,,,,N,Spring
B12,march.2017,0,0,N,,,,N,Spring
B14,march.2017,0,0,N,,,,N,Spring
C03,march.2017,0,0,N,,,,N,Spring
C05,march.2017,0,0,N,,,,N,Spring
C07,march.2017,0,0,N,,,,N,Spring
C09,march.2017,0.03225806,0,N,,,,N,Spring
C11,march.2017,0,3.7419355,Y,,,,N,Spring
C15,march.2017,0.06451613,0.4516129,Y,,,,N,Spring
C17,march.2017,0,0,N,,,,N,Spring
D04,march.2017,0.03225806,0,N,,,,N,Spring
D06,march.2017,0.03225806,0,N,,,,N,Spring
D08,march.2017,0,0,N,,,,N,Spring
D10,march.2017,0,0,N,,,,N,Spring
D12,march.2017,0,0,N,,,,N,Spring
D14,march.2017,0,0,N,,,,N,Spring
D16,march.2017,0,0,N,,,,N,Spring
E05,march.2017,0,0,N,,,,N,Spring
E07,march.2017,0,0,N,,,,N,Spring
E09,march.2017,0,0,N,,,,N,Spring
E11,march.2017,0,0,N,,,,N,Spring
E13,march.2017,0,0.4516129,Y,,,,N,Spring
E15,march.2017,0,0,N,,,,N,Spring
E17,march.2017,0,0,N,,,,N,Spring
F04,march.2017,0.03225806,0,N,,,,N,Spring
F06,march.2017,0,0,N,,,,N,Spring
F08,march.2017,0.06451613,0,N,,,,N,Spring
F10,march.2017,0,0,N,,,,N,Spring
G09,march.2017,0,0,N,,,,N,Spring
G11,march.2017,0,0,N,,,,N,Spring
A03,april.2017,0,0,N,,,,N,Spring
A13,april.2017,0,0,N,,,,N,Spring
B02,april.2017,0,0,N,,,,N,Spring
B04,april.2017,0,0,N,,,,N,Spring
B06,april.2017,0,0,N,,,,N,Spring
B08,april.2017,0,0,N,,,,N,Spring
B10,april.2017,0,0,N,,,,N,Spring
B12,april.2017,0,0,N,,,,N,Spring
B14,april.2017,0,0,N,,,,N,Spring
C03,april.2017,0,0,N,,,,N,Spring
C05,april.2017,0,0,N,,,,N,Spring
C07,april.2017,0,0,N,,,,N,Spring
C09,april.2017,0,0,N,,,,N,Spring
C11,april.2017,0,0.6333333,Y,,,,N,Spring
C15,april.2017,0,0.1,Y,,,,N,Spring
C17,april.2017,0,0,N,,,,N,Spring
D04,april.2017,0,0,N,,,,N,Spring
D06,april.2017,0,0,N,,,,N,Spring
D08,april.2017,0,0,N,,,,N,Spring
D10,april.2017,0,0,N,,,,N,Spring
D12,april.2017,0,0,N,,,,N,Spring
D14,april.2017,0,0,N,,,,N,Spring
D16,april.2017,0,0,N,,,,N,Spring
E05,april.2017,0,0,N,,,,N,Spring
E07,april.2017,0,0,N,,,,N,Spring
E09,april.2017,0,0,N,,,,N,Spring
E11,april.2017,0,0,N,,,,N,Spring
E13,april.2017,0.03333333,0.5,Y,,,,N,Spring
E15,april.2017,0.03333333,0,N,,,,N,Spring
E17,april.2017,0,0,N,,,,N,Spring
F04,april.2017,0,0,N,,,,N,Spring
F06,april.2017,0,0,N,,,,N,Spring
F08,april.2017,0,0,N,,,,N,Spring
F10,april.2017,0,0,N,,,,N,Spring
G09,april.2017,0,0,N,,,,N,Spring
G11,april.2017,0,0,N,,,,N,Spring
A03,may.2017,0,0,N,,,,N,Spring
A13,may.2017,0,0,N,,,,N,Spring
B02,may.2017,0,0,N,,,,N,Spring
B04,may.2017,0,0,N,,,,N,Spring
B06,may.2017,0.03225806,0,N,,,,N,Spring
B08,may.2017,0,0,N,,,,N,Spring
B10,may.2017,0,0,N,,,,N,Spring
B12,may.2017,0,0,N,,,,N,Spring
B14,may.2017,0,0,N,,,,N,Spring
C03,may.2017,0.03225806,0,N,,,,N,Spring
C05,may.2017,0,0,N,,,,N,Spring
C07,may.2017,0,0,N,,,,N,Spring
C09,may.2017,0,0,N,,,,N,Spring
C11,may.2017,0,2.5483871,Y,,,,N,Spring
C15,may.2017,0,0,N,,,,N,Spring
C17,may.2017,0,0,N,,,,N,Spring
D04,may.2017,0,0,N,,,,N,Spring
D06,may.2017,0,0,N,,,,N,Spring
D08,may.2017,0,0,N,,,,N,Spring
D10,may.2017,0,0,N,,,,N,Spring
D12,may.2017,0,0,N,,,,N,Spring
D14,may.2017,0.06451613,0,N,,,,N,Spring
D16,may.2017,0,0,N,,,,N,Spring
E05,may.2017,0,0,N,,,,N,Spring
E07,may.2017,0,0,N,,,,N,Spring
E09,may.2017,0,0,N,,,,N,Spring
E11,may.2017,0,0,N,,,,N,Spring
E13,may.2017,0,0.3548387,Y,,,,N,Spring
E15,may.2017,0.06451613,0,N,,,,N,Spring
E17,may.2017,0,1.8709677,Y,,,,N,Spring
F04,may.2017,0,0,N,,,,N,Spring
F06,may.2017,0,0,N,,,,N,Spring
F08,may.2017,0,0,N,,,,N,Spring
F10,may.2017,0,0,N,,,,N,Spring
G09,may.2017,0,0,N,,,,N,Spring
G11,may.2017,0,0,N,,,,N,Spring
A03,june.2017,0,0,N,,,,N,Summer
A13,june.2017,0,0,N,,,,N,Summer
B02,june.2017,0,0,N,,,,N,Summer
B04,june.2017,0,0,N,,,,N,Summer
B06,june.2017,0,0,N,,,,N,Summer
B08,june.2017,0,0,N,,,,N,Summer
B10,june.2017,0,0,N,,,,N,Summer
B12,june.2017,0,0,N,,,,N,Summer
B14,june.2017,0,0,N,,,,N,Summer
C03,june.2017,0,0,N,,,,N,Summer
C05,june.2017,0,0,N,,,,N,Summer
C07,june.2017,0,0,N,,,,N,Summer
C09,june.2017,0,0,N,,,,N,Summer
C11,june.2017,0.03333333,0.6,Y,,,,N,Summer
C15,june.2017,0,0,N,,,,N,Summer
C17,june.2017,0,0,N,,,,N,Summer
D04,june.2017,0,0,N,,,,N,Summer
D06,june.2017,0,0,N,,,,N,Summer
D08,june.2017,0,0,N,,,,N,Summer
D10,june.2017,0,0,N,,,,N,Summer
D12,june.2017,0,0,N,,,,N,Summer
D14,june.2017,0.03333333,0,N,,,,N,Summer
D16,june.2017,0,0,N,,,,N,Summer
E05,june.2017,0,0,N,,,,N,Summer
E07,june.2017,0,0,N,,,,N,Summer
E09,june.2017,0,0,N,,,,N,Summer
E11,june.2017,0,0,N,,,,N,Summer
E13,june.2017,0,0.3333333,Y,,,,N,Summer
E15,june.2017,0.1,0,N,,,,N,Summer
E17,june.2017,0,2.2,Y,,,,N,Summer
F04,june.2017,0,0,N,,,,N,Summer
F06,june.2017,0,0,N,,,,N,Summer
F08,june.2017,0,0,N,,,,N,Summer
F10,june.2017,0,0,N,,,,N,Summer
G09,june.2017,0,0,N,,,,N,Summer
G11,june.2017,0,0,N,,,,N,Summer
A03,july.2017,0,0,N,,,,N,Summer
A13,july.2017,0,0,N,,,,N,Summer
B02,july.2017,0,0,N,,,,N,Summer
B04,july.2017,0,0,N,,,,N,Summer
B06,july.2017,0,0,N,,,,N,Summer
B08,july.2017,0,0,N,,,,N,Summer
B10,july.2017,0,0,N,,,,N,Summer
B12,july.2017,0,0,N,,,,N,Summer
B14,july.2017,0,0,N,,,,N,Summer
C03,july.2017,0,0,N,,,,N,Summer
C05,july.2017,0,0,N,,,,N,Summer
C07,july.2017,0,0,N,,,,N,Summer
C09,july.2017,0,0,N,,,,N,Summer
C11,july.2017,0,0,N,,,,N,Summer
C15,july.2017,0,0,N,,,,N,Summer
C17,july.2017,0,0,N,,,,N,Summer
D04,july.2017,0,0,N,,,,N,Summer
D06,july.2017,0,0,N,,,,N,Summer
D08,july.2017,0,0,N,,,,N,Summer
D10,july.2017,0,0,N,,,,N,Summer
D12,july.2017,0,0,N,,,,N,Summer
D14,july.2017,0,0,N,,,,N,Summer
D16,july.2017,0,0,N,,,,N,Summer
E05,july.2017,0,0,N,,,,N,Summer
E07,july.2017,0.03225806,0,N,,,,N,Summer
E09,july.2017,0,0,N,,,,N,Summer
E11,july.2017,0,0,N,,,,N,Summer
E13,july.2017,0,0.03225806,Y,,,,N,Summer
E15,july.2017,0,0,N,,,,N,Summer
E17,july.2017,0,1.03225806,Y,,,,N,Summer
F04,july.2017,0,0,N,,,,N,Summer
F06,july.2017,0,0,N,,,,N,Summer
F08,july.2017,0,0,N,,,,N,Summer
F10,july.2017,0,0,N,,,,N,Summer
